ALLUSERSPROFILE	 Указывает расположение профиля All Users (локальная переменная);
APPDATA	 Указывает расположение каталога, в котором программы хранят данные по умолчанию (локальная переменная);
CD	 Указывает имя текущего каталога (локальная переменная);
CMDCMDLINE	 Указывает параметры командной строки, которые использовались для запуска текущего экземпляра программы CMD.EXE (локальная переменная);
CMDEXTVERSION	 Указывает номер версии текущего расширения командного процессора (системная переменная);
COMPUTERNAME	 Указывает имя компьютера (системная переменная);
COMSPEC	 Указывает точный путь к исполняемому файлу командного интерпретатора (системная переменная);
DATE	 Указывает текущую дату. Используется тот же формат, что и для команды date /t. Значение генерируется командным интерпретатором (системная переменная);
ERRORLEVEL	 Указывает код уровня ошибки последней программы. Ненулевое значение, скорее всего, указывает на ошибку (системная переменная);
HOMEDRIVE	 Указывает букву диска локальной рабочей станции, подключенной к домашнему каталогу. Переменная определяется на основе пути к домашнему каталогу. Домашний каталог пользователя определяется в оснастке Локальные пользователи и группы (Local Users and Groups) (системная переменная);
HOMEPATH	 Указывает полный путь к домашнему каталогу пользователя. Переменная определяется на основе пути к домашнему каталогу. Домашний каталог пользователя определяется в оснастке Локальные пользователи и группы (Local Users and Groups) (системная переменная);
HOMESHARE	 Указывает сетевой путь к общему домашнему каталогу пользователя. Переменная определяется на основе пути к домашнему каталогу. Домашний каталог пользователя назначается в оснастке Локальные пользователи и группы (Local Users and Groups) (системная переменная);
LOGONSERVER	 Указывает имя контроллера домена, на котором авторизован текущий сеанс работы с системой (локальная переменная);
NUMBER_OF_PROCESSORS	 Указывает количество процессоров, установленных в компьютере (системная переменная);
OS	 Указывает версию операционной системы. ОС Windows XP/XP обозначаются, как Windows_NT (системная переменная) PATH Указывает путь поиска исполняемых файлов (системная переменная);
PATHEXT	 Указывает список расширений, которые распознаются операционной системой, как расширения исполняемых файлов (системная переменная);
PROCESSOR_ARCHITECTURE	 Указывает тип архитектуры процессора. Возможные значения: x86 и IA64 (системная переменная);
PROCESSOR_IDENTIFIER	 Указывает описание процессора (системная переменная);
PROCESSOR_LEVEL	 Указывает номер модели процессора, установленного в компьютере (системная переменная);
PROCESSOR_REVISION	 Указывает номер версии модели процессора (системная переменная);
PROMPT	 Указывает параметры приглашения командной строки для текущего интерпретатора. Генерируется интерпретатором CMD.EXE (локальная переменная);
RandOM	 Указывает случайное десятичное число от 0 до 32767. Генерируется программой CMD.EXE (системная переменная);
SYSTEMDRIVE	 Указывает букву диска, на котором расположен корневой каталог Windows (системная переменная);
SYSTEMROOT	 Указывает путь к корневому каталогу Windows (системная переменная);
TEMP или TMP	 Указывает путь к временным каталогам, принятым по умолчанию. Эти каталоги используются приложениями, доступными зарегистрированному в системе пользователю. Некоторым приложениям требуется значение переменной TEMP, в то время как другим — TMP (системная и пользовательская переменные соответственно);
TIME	 Указывает текущее время. Используется тот же формат, что и для команды time /t. Генерируется интерпретатором CMD.EXE (системная переменная);
USERDOMAIN	 Указывает имя домена, в котором хранится учетная запись пользователя (локальная переменная);
USERNAME	 Указывает имя пользователя, который зарегистрирован в системе в текущий момент времени (локальная переменная);
USERPROFILE	 Указывает путь к профилю текущего пользователя (локальная переменная);
WINDIR	 Указывает путь к каталогу операционной системы (системная переменная)
